kinetic,gravitational,elastic
71.8223187620006,-75.35979996703114,2.981018304931391
72.94312802629402,-76.52595105118625,3.0258429969281044
74.06501962106454,-77.69548830147359,3.0730163999354647
75.1879253884454,-78.86818790912088,3.122341890296608
76.31185045674832,-80.04380997676384,3.173550018531103
77.43683674744037,-81.2221053203907,3.226349394979383
78.56291147272918,-82.40282411769452,3.280493840074242
79.69002305312296,-83.5857252899309,3.3358593912539427
80.81797309446058,-84.77058531616052,3.3925176864825497
81.94635979355877,-85.95720520142963,3.4507866977350687
83.07455156512356,-87.14541455496386,3.511239653961317
84.20170640678475,-88.33507214150504,3.5746605446412825
85.326841793471,-89.52606278358894,3.6419486544825923
86.44894474967464,-90.71829103739104,3.713990355025461
87.56709808019446,-91.9116725572847,3.791527420717034
88.6805925639431,-93.10612442353104,3.8750524841331364
